Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux)
20240529102008,0.06,1007.46,40.75,41.35,60990.66
20240529103008,0.01,1007.97,42.48,36.13,76364.03
20240529104008,0.03,1006.56,43.82,32.94,64388.99
20240529105008,0.01,1008.84,42.06,34.02,79405.66
20240529110008,-0.01,1010.08,40.73,35.36,82169.43
20240529111008,0.53,1008.42,30.25,71.02,17406.08
20240529112008,1.13,1007.74,31.29,63.58,16094.26
20240529113008,1.91,1007.99,32.07,60.35,28215.2
20240529114008,1.26,1007.02,33.03,56.16,19698.14
20240529115008,1.01,1005.57,37.65,42.15,22973.69
20240529120008,1.36,1003.42,40.82,35.48,23872.06
20240529121008,0.97,1003.55,39.6,37.46,24917.71
20240529122008,0.67,1002.31,42.23,31.2,14729.71
20240529123008,0.62,1001.02,45.5,24.57,21636.45
20240529124008,0.69,1000.76,46.65,22.78,29829.22
20240529125008,1.53,1003.59,39.6,33.79,25154.5
20240529130008,1.64,1004.22,40.92,31.87,35286.23
20240529131008,0.74,1008.75,31.29,58.6,22139.53
20240529132008,0.73,1008.8,32.37,54.08,25404.21
20240529133008,0.91,1009.17,33.6,47.85,34077.34
20240529134008,0.72,1009.2,34.7,44.42,38364.39
20240529135008,0.59,1008.41,38.41,35.31,50493.16
20240529140008,0.44,1006.31,42.77,28.42,53419.07
20240529141008,0.52,1006.42,40.17,31.65,45851.56
20240529142008,0.39,1005.86,43.41,27.25,55003.71
20240529143008,0.25,1005.34,46.56,20.76,69469.46
20240529144008,0.25,1004.6,46.15,20.73,57177.2
20240529145008,0.73,1005.42,44.9,21.3,64865.25
20240529150008,1.12,1007.83,42.39,23.87,76563.88
20240529151008,0.31,1010.13,38.6,35.01,68408.14
20240529152008,0.15,1009.25,41.02,31.43,74378.1
20240529153008,0.23,1009.74,42.12,29.47,82421.04
20240529154008,0.12,1008.44,43.13,27.13,72498.96
20240529155008,0.09,1008.85,43.56,24.99,81132.56
20240529160008,0.1,1010.94,43.41,25.1,102282.73
20240529161008,0.11,1008.97,29.59,80.2,20580.99
20240529162008,0.03,1008.89,26.87,94.75,6991.11
20240529163008,0.12,1009.47,25.91,98.51,6186.56
20240529164008,0.04,1009.14,26.09,99.2,7571.81
20240529165008,-0.05,1007.58,28.78,95.58,8334.78
20240607090008,0.08,1006.34,30.46,98.44,16720.02
20240607091008,0.12,1008.15,28.45,97.2,20249.34
20240607092008,0.09,1007.49,29.86,97.27,21911.32
20240607093008,0.09,1007.31,30.77,97.66,27755.38
20240607094008,0.23,1006.84,30.17,99.1,23046.1
20240607095008,0.1,1006.78,29.47,98.84,16010.63
20240607100008,0.06,1006.97,29.34,98.07,15835.88
20240607101008,0.05,1007.01,28.68,98.92,12072.48
20240607102008,0.06,1007.15,28.58,98.49,11801.12
20240607103008,0.05,1007.5,28.42,98.44,13628.16
20240607104008,0.05,1007.39,30.43,96.41,24160.48
20240607105008,0.4,1006.81,30.03,99.16,21651.37
20240607110008,0.51,1007.13,28.76,99.17,17987.37
20240607111008,0.23,1008.38,28.08,94.45,19313.69
20240607112008,0.16,1007.89,29.8,93.24,23395.08
20240607113008,0.13,1007.23,31.38,92.44,27764.89
20240607114008,0.33,1007.16,30.0,92.32,21213.04
20240607115008,0.12,1007.45,28.26,97.83,13030.73
20240607120008,0.16,1007.24,29.05,94.89,13370.59
20240607121008,0.09,1007.35,28.36,97.05,10922.74
20240607122008,0.18,1007.58,27.96,95.77,10322.66
20240607123008,0.21,1007.53,28.13,96.55,11264.41
20240607124008,0.71,1008.01,29.21,88.75,21921.22
20240607125008,0.53,1007.26,29.23,91.59,15659.49
20240607130008,0.47,1007.65,29.08,88.56,16117.3
20240607131008,0.19,1008.52,29.01,96.51,26233.54
20240607132008,0.11,1008.33,29.89,96.68,30931.67
20240607133008,0.11,1007.86,31.13,94.27,34056.78
20240607134008,0.1,1007.86,29.87,94.39,26673.98
20240607135008,0.08,1007.74,28.15,98.02,14870.89
20240607140008,0.06,1007.63,29.13,94.13,16653.32
20240607141008,0.09,1007.7,28.07,96.11,12630.13
20240607142008,0.06,1008.0,27.62,96.74,11370.96
20240607143008,0.05,1007.8,28.19,96.79,12997.29
20240607144008,0.05,1008.64,29.97,89.38,27142.74
20240607145008,0.09,1007.61,29.54,95.54,18803.99
20240607150008,0.08,1007.47,29.8,93.76,17882.82
20240607151008,0.08,1007.39,27.68,100.78,6551.48
20240607152008,0.04,1007.16,29.01,97.7,10264.84
20240607153008,0.03,1006.58,29.58,98.26,10251.42
20240607154008,0.03,1006.12,29.79,98.6,9215.94
20240607155008,0.06,1005.99,29.5,99.36,7071.74
20240607160008,0.07,1006.37,29.03,98.24,6602.09
20240607161008,0.07,1006.42,29.03,98.82,5636.51
20240607162008,0.07,1006.35,29.24,98.23,6013.86
20240607163008,0.05,1006.51,28.96,98.53,6165.88
20240607164008,0.05,1006.39,29.65,97.91,9373.15
20240607165008,0.05,1005.98,29.89,98.63,8130.1
20240613090008,0.05,1005.03,31.9,98.1,15006.36
20240613091008,0.53,1006.67,28.29,92.24,7053.65
20240613092008,0.99,1006.15,29.2,91.13,8622.53
20240613093008,0.49,1006.4,29.4,90.84,8841.02
20240613094008,0.41,1006.33,29.31,91.58,7436.7
20240613095008,0.29,1006.31,29.99,91.06,9228.51
20240613100008,0.19,1006.53,30.26,88.96,10958.58
20240613101008,0.27,1006.47,30.64,86.46,11627.13
20240613102008,0.49,1006.38,30.88,84.06,12652.0
20240613103008,0.29,1006.48,31.4,82.04,14363.09
20240613104008,0.32,1006.46,32.07,78.25,16712.37
20240613105008,0.47,1006.29,32.14,77.95,17056.94
20240613110008,0.64,1006.09,32.0,78.25,16006.71
20240613111008,0.58,1007.5,28.71,76.4,5105.25
20240613112008,0.55,1007.45,29.8,74.88,7968.98
20240613113008,0.37,1007.65,29.52,75.58,7456.43
20240613114008,0.24,1007.73,29.49,76.38,7125.21
20240613115008,0.14,1007.78,29.83,75.88,7720.45
20240613120008,0.08,1007.84,30.42,73.02,9445.96
20240613121008,0.08,1007.73,30.86,71.78,10567.19
20240613122008,0.2,1007.67,30.91,70.76,10872.87
20240613123008,0.11,1007.6,31.73,67.88,12926.14
20240613124008,0.08,1007.52,32.54,65.21,15793.44
20240613125008,0.09,1007.46,32.97,63.49,17545.1
20240613130008,0.2,1007.38,32.85,63.48,17162.36
20240613131008,0.05,1008.66,27.97,82.79,7816.64
20240613132008,0.05,1008.48,29.11,77.51,8978.91
20240613133008,0.05,1008.58,28.93,78.63,9877.23
20240613134008,0.04,1008.47,28.79,79.16,8720.19
20240613135008,0.04,1008.35,29.13,78.32,9238.02
20240613140008,0.04,1008.33,29.62,76.63,11270.76
20240613141008,0.03,1008.23,30.14,75.03,12905.48
20240613142008,0.03,1008.26,30.49,72.81,14023.13
20240613143008,0.03,1008.34,31.01,70.54,16544.78
20240613144008,0.02,1008.43,31.6,68.12,19767.98
20240613145008,0.02,1008.52,31.92,66.53,21853.4
20240613150008,0.02,1008.44,31.91,66.09,20564.96
20240613151008,0.07,1006.42,27.53,105.53,-2590.1
20240613152008,0.09,1006.33,29.63,96.08,5545.83
20240613153008,0.09,1006.28,29.1,98.14,5097.82
20240613154008,-0.0,1006.12,29.54,97.52,6766.99
20240613155008,0.09,1005.55,29.53,98.93,3955.72
20240613160008,0.11,1006.1,28.93,97.73,3848.02
20240613161008,0.06,1005.93,29.52,98.51,5033.08
20240613162008,0.04,1005.55,30.11,98.46,5693.98
20240613163008,0.06,1005.62,29.87,98.85,5834.75
20240613164008,0.07,1005.65,30.09,98.15,6830.38
20240613165008,0.05,1005.55,30.43,98.14,7865.07
20240628090008,-0.0,1002.66,44.54,40.6,40716.24
20240628091008,-0.03,1006.01,35.5,66.31,27994.06
20240628092008,-0.04,1005.64,37.9,55.24,31820.39
20240628093008,0.03,1005.82,38.57,52.07,33293.08
20240628094008,0.03,1005.71,38.99,49.49,32949.29
20240628095008,0.04,1005.43,40.16,46.09,37512.7
20240628100008,0.03,1005.33,40.72,44.37,40202.62
20240628101008,0.03,1005.11,41.98,41.19,44563.7
20240628102008,0.03,1004.75,43.57,37.33,48768.55
20240628103008,0.03,1004.58,44.94,33.94,54846.15
20240628104008,0.01,1005.28,43.98,35.38,57541.7
20240628105008,-0.02,1005.39,42.35,38.76,48135.22
20240628110008,0.0,1005.29,43.49,36.73,55108.06
20240628111008,0.74,1005.72,33.83,57.51,12550.86
20240628112008,1.31,1003.23,38.41,44.77,12848.97
20240628113008,1.16,1003.26,39.82,39.6,17121.03
20240628114008,0.64,1002.83,39.88,40.82,9267.03
20240628115008,0.75,1002.87,40.55,40.34,15184.84
20240628120008,0.47,1002.37,41.58,39.23,15384.13
20240628121008,0.43,1001.57,43.22,34.22,15506.34
20240628122008,0.57,1000.4,45.5,28.87,15990.17
20240628123008,0.62,999.49,46.1,29.38,13722.48
20240628124008,0.87,999.07,46.4,29.03,15992.95
20240628125008,1.21,999.96,44.5,32.82,18776.7
20240628130008,1.28,1001.14,42.92,36.53,22312.32
20240628131008,0.91,1002.79,39.37,44.33,16535.89
20240628132008,0.85,1002.68,40.36,39.37,14976.79
20240628133008,0.66,1002.42,42.42,34.37,20037.96
20240628134008,0.58,1002.99,42.95,33.05,29729.82
20240628135008,0.43,1003.33,42.54,33.42,28911.81
20240628140008,0.27,1003.15,43.58,32.06,30289.06
20240628141008,0.18,1002.95,45.19,29.64,37608.43
20240628142008,0.21,1002.6,46.17,27.88,40536.08
20240628143008,0.26,1002.48,46.83,26.79,44545.1
20240628144008,0.51,1002.55,46.22,27.27,45753.62
20240628145008,0.41,1002.84,45.14,29.4,41381.4
20240628150008,0.37,1003.3,44.88,30.44,44834.58
20240628151008,0.12,1007.62,35.24,53.21,32676.74
20240628152008,0.06,1007.11,37.38,45.55,34222.0
20240628153008,0.09,1007.61,37.62,43.29,36577.66
20240628154008,0.06,1007.59,37.66,41.86,34095.06
20240628155008,0.05,1007.19,38.86,39.31,37163.04
20240628160008,0.04,1006.86,39.74,37.82,40266.44
20240628161008,0.03,1006.55,41.28,34.71,46733.58
20240628162008,0.04,1006.1,42.86,31.59,51153.55
20240628163008,0.04,1005.72,44.4,28.54,56736.32
20240628164008,0.01,1006.17,43.49,29.48,56849.38
20240628165008,-0.02,1006.11,42.33,31.3,47790.64
20240705090008,-0.02,1001.26,49.74,32.05,57891.48
20240705091008,-0.05,1007.72,31.22,70.18,18019.49
20240705092008,-0.05,1006.66,34.13,61.0,14160.51
20240705093008,0.06,1007.22,34.74,58.55,20162.73
20240705094008,0.03,1007.74,34.81,56.09,25252.05
20240705095008,0.06,1007.1,36.36,50.0,26966.31
20240705100008,0.05,1006.82,37.32,47.39,30830.93
20240705101008,0.04,1007.09,37.31,47.06,35084.86
20240705102008,0.05,1006.75,37.8,45.18,32797.72
20240705103008,0.07,1006.78,38.45,41.03,34565.59
20240705104008,0.04,1006.94,38.84,40.45,38410.37
20240705105008,0.05,1006.84,39.74,38.11,41139.33
20240705110008,0.01,1006.81,40.14,37.48,43431.92
20240705111008,-0.01,1005.38,38.91,53.37,28896.96
20240705112008,0.0,1004.23,41.78,45.07,36316.9
20240705113008,0.03,1004.04,42.57,41.41,36780.68
20240705114008,0.01,1004.0,43.37,38.14,40165.32
20240705115008,0.01,1004.43,44.14,35.29,49220.31
20240705120008,-0.01,1004.71,44.18,34.02,50526.36
20240705121008,-0.03,1004.36,45.13,32.49,50784.73
20240705122008,-0.01,1003.75,46.89,29.18,55340.47
20240705123008,-0.0,1003.7,47.72,27.21,61678.34
20240705124008,-0.02,1004.02,47.83,26.68,66717.6
20240705125008,-0.02,1004.17,48.57,25.71,72626.7
20240705130008,-0.01,1004.39,49.5,24.7,79485.94
20240705131008,0.92,1004.87,37.92,44.21,23758.36
20240705132008,0.92,1000.81,42.51,34.48,4942.95
20240705133008,1.01,999.67,46.13,29.33,19327.52
20240705134008,0.52,1000.31,44.79,33.4,7379.57
20240705135008,1.12,1000.09,43.72,32.58,6899.35
20240705140008,1.49,999.19,44.11,31.25,8301.92
20240705141008,1.22,998.17,47.0,24.84,12698.13
20240705142008,0.98,996.52,50.31,21.8,10319.0
20240705143008,0.82,996.14,50.2,25.31,9472.77
20240705144008,0.84,996.62,49.52,24.45,9019.82
20240705145008,0.64,996.48,50.64,24.34,11514.57
20240705150008,0.6,997.5,50.02,24.91,20285.94
20240705151008,0.63,999.89,43.71,35.62,14912.18
20240705152008,0.58,999.11,46.04,31.82,10400.45
20240705153008,0.37,998.77,48.34,27.41,17764.32
20240705154008,0.39,1000.17,48.0,27.29,34911.94
20240705155008,0.66,1001.06,46.57,27.29,34252.02
20240705160008,0.55,1000.84,48.0,26.24,35336.5
20240705161008,0.35,1000.53,50.01,23.03,44299.4
20240705162008,0.29,1000.11,50.53,21.97,45805.06
20240705163008,0.28,1000.37,50.2,22.81,48105.22
20240705164008,0.21,1000.6,50.7,22.21,53161.48
20240705165008,0.17,1000.72,51.2,21.99,58090.45
20240709090008,-0.01,1002.46,48.13,32.19,56782.48
20240709091008,1.06,1004.99,33.48,53.5,7552.65
20240709092008,1.3,1002.18,39.37,37.65,3577.96
20240709093008,1.29,1001.91,41.47,31.66,11011.18
20240709094008,1.05,1001.77,41.66,34.53,11152.66
20240709095008,1.0,1000.54,42.97,34.7,6189.27
20240709100008,1.27,999.67,43.54,34.47,6018.65
20240709101008,1.25,999.49,44.62,28.72,12929.15
20240709102008,1.4,999.73,44.53,26.49,13662.14
20240709103008,1.21,998.44,46.36,25.18,8665.3
20240709104008,1.2,998.56,46.25,25.7,10618.75
20240709105008,1.04,998.16,47.32,25.88,11621.88
20240709110008,0.89,998.31,48.29,24.96,17208.67
20240709111008,0.6,1000.86,42.45,35.66,13819.95
20240709112008,0.61,1000.7,43.27,33.54,9995.1
20240709113008,0.5,1000.44,45.24,28.97,15358.32
20240709114008,0.36,1001.41,46.41,27.55,33519.5
20240709115008,0.28,1001.96,46.46,26.33,36311.64
20240709120008,0.23,1001.75,47.15,25.65,36710.62
20240709121008,0.34,1001.83,47.61,24.22,43087.15
20240709122008,0.43,1001.99,47.37,24.32,44549.35
20240709123008,0.43,1002.17,47.54,24.66,48070.31
20240709124008,0.37,1002.17,48.19,23.85,52392.64
20240709125008,0.45,1002.41,48.03,23.74,55975.34
20240709130008,0.34,1002.54,48.79,22.72,59523.46
20240709131008,0.12,1006.54,29.16,87.93,1409.49
20240709132008,0.03,1007.11,29.65,88.16,1464.49
20240709133008,0.11,1006.99,30.6,87.83,5382.46
20240709134008,-0.01,1008.3,28.68,90.15,10996.74
20240709135008,0.05,1006.39,29.6,91.9,2548.39
20240709140008,0.1,1007.62,28.91,86.23,7384.26
20240709141008,0.09,1007.45,28.89,85.29,6619.05
20240709142008,0.13,1006.21,29.91,83.33,3193.83
20240709143008,0.09,1006.36,30.43,81.17,4622.77
20240709144008,0.05,1006.35,31.19,77.32,4879.09
20240709145008,0.07,1006.65,31.43,72.51,5578.58
20240709150008,0.02,1006.76,31.82,68.43,4984.59
20240709151008,0.01,1008.84,29.08,67.98,6299.59
20240709152008,0.01,1008.76,29.45,66.09,4569.19
20240709153008,0.01,1008.77,29.93,63.98,5888.61
20240709154008,0.02,1008.81,29.96,63.75,6372.54
20240709155008,0.01,1008.58,30.33,64.03,6490.17
20240709160008,0.01,1008.59,30.57,61.68,6828.93
20240709161008,0.0,1008.49,30.84,60.6,6950.02
20240709162008,0.0,1008.49,30.92,60.42,7607.61
20240709163008,0.01,1008.25,31.26,60.05,7399.37
20240709164008,0.01,1008.15,31.39,59.29,6936.67
20240709165008,0.01,1008.11,31.57,58.18,7032.71
20240715090008,-0.01,1002.54,46.89,37.06,53652.4
20240715091008,-0.02,1007.95,30.78,70.61,16908.68
20240715092008,-0.05,1006.97,33.94,58.64,14603.9
20240715093008,0.04,1007.35,34.85,57.41,21147.51
20240715094008,0.03,1007.62,35.42,54.38,27601.02
20240715095008,0.04,1006.88,37.1,48.6,28897.28
20240715100008,0.04,1006.59,37.08,48.2,27422.94
20240715101008,0.04,1006.35,38.15,44.51,30738.98
20240715102008,0.05,1006.3,38.6,41.85,31747.13
20240715103008,0.04,1006.72,38.58,41.54,35630.78
20240715104008,0.01,1006.78,38.16,43.16,33583.25
20240715105008,0.03,1006.86,39.34,40.94,40331.47
20240715110008,0.02,1006.94,39.07,41.97,40188.96
20240715111008,0.46,1005.48,33.88,63.66,6991.57
20240715112008,0.45,1003.14,39.98,45.39,14758.43
20240715113008,1.0,1002.09,41.18,41.63,12565.32
20240715114008,0.36,1001.12,43.24,37.47,10799.56
20240715115008,0.49,999.88,44.89,35.45,9459.13
20240715120008,0.48,999.71,45.87,32.64,16093.4
20240715121008,0.71,999.33,45.95,30.35,14873.41
20240715122008,0.86,998.2,47.73,26.77,13628.88
20240715123008,0.81,997.79,48.09,27.7,12552.26
20240715124008,0.98,998.39,47.06,30.16,16359.99
20240715125008,1.07,998.62,46.92,30.6,17802.41
20240715130008,1.18,999.35,46.57,31.53,24016.06
20240715131008,0.58,1002.84,39.03,48.1,17008.38
20240715132008,0.43,1002.53,40.61,42.33,13627.87
20240715133008,0.37,1001.26,44.45,34.83,18607.28
20240715134008,0.22,1001.34,46.88,31.11,35389.58
20240715135008,0.25,1000.81,48.03,27.27,34672.74
20240715140008,0.31,1001.07,46.79,28.12,33191.4
20240715141008,0.23,1001.0,48.09,26.33,37607.67
20240715142008,0.22,1000.94,48.72,24.97,42103.56
20240715143008,0.4,1001.11,48.61,25.47,46190.46
20240715144008,0.39,1001.38,48.64,25.29,48833.62
20240715145008,0.3,1001.39,49.18,25.81,52448.83
20240715150008,0.3,1002.02,48.39,26.66,55090.2
20240715151008,0.09,1007.43,34.09,58.63,26901.58
20240715152008,0.05,1006.27,37.41,49.61,28466.74
20240715153008,0.09,1006.63,39.48,44.55,41340.67
20240715154008,0.08,1007.18,40.63,39.63,51218.72
20240715155008,0.08,1006.15,43.25,33.41,55347.89
20240715160008,0.06,1006.0,42.34,33.65,50754.35
20240715161008,0.02,1005.79,43.8,30.7,56621.66
20240715162008,0.0,1005.21,45.35,27.39,59176.48
20240715163008,0.02,1005.06,46.35,25.68,64758.32
20240715164008,0.02,1005.48,45.95,26.06,65906.2
20240715165008,0.04,1005.81,46.81,25.18,73558.82
20240719090008,0.01,1006.65,40.38,36.21,42080.48
20240719091008,0.01,1004.63,38.95,64.86,28206.86
20240719092008,-0.01,1003.8,42.08,50.01,39520.67
20240719093008,0.03,1004.01,41.57,50.48,36477.1
20240719094008,0.02,1003.74,43.17,43.95,40961.22
20240719095008,0.04,1004.07,44.18,41.63,51363.5
20240719100008,0.01,1004.27,44.2,38.65,50826.48
20240719101008,-0.01,1004.61,44.2,37.76,52958.24
20240719102008,-0.0,1004.6,45.17,35.11,57246.82
20240719103008,0.01,1005.25,45.12,34.52,65228.04
20240719104008,0.0,1005.26,45.75,32.53,67595.42
20240719105008,0.02,1005.03,46.92,30.19,72649.65
20240719110008,0.02,1004.65,48.42,27.48,76404.46
20240719111008,0.59,1004.64,37.48,43.49,17398.8
20240719112008,0.68,1000.86,42.64,34.54,4600.03
20240719113008,0.49,999.65,46.91,29.08,22351.96
20240719114008,0.43,1000.18,47.0,29.44,21909.8
20240719115008,0.82,1000.67,45.65,29.56,25322.38
20240719120008,0.68,1001.24,45.39,28.2,29149.07
20240719121008,0.93,1001.15,46.46,25.83,38725.83
20240719122008,1.01,1000.37,47.54,23.81,37379.86
20240719123008,1.08,1000.56,48.33,23.89,45624.9
20240719124008,0.92,1000.82,48.66,23.91,49036.2
20240719125008,0.66,1000.88,50.02,22.77,55761.61
20240719130008,0.75,1001.31,49.69,22.78,60828.57
20240719131008,0.3,1006.29,37.82,47.5,38932.74
20240719132008,0.2,1005.28,40.64,40.22,38291.84
20240719133008,0.16,1006.27,41.82,38.13,52700.12
20240719134008,0.09,1006.46,41.85,36.05,51355.44
20240719135008,0.09,1006.54,42.68,33.88,57140.89
20240719140008,0.06,1006.34,43.23,31.77,57927.54
20240719141008,0.05,1006.57,43.63,30.62,62863.98
20240719142008,0.03,1006.25,44.57,28.39,64206.51
20240719143008,0.04,1006.12,45.27,27.02,67120.16
20240719144008,0.04,1005.83,46.02,25.43,67781.06
20240719145008,0.04,1005.89,47.29,22.9,75913.04
20240719150008,0.0,1005.74,48.53,21.39,81945.08
20240719151008,0.14,1006.72,31.74,85.68,13607.22
20240719152008,-0.01,1005.51,33.02,82.02,4765.47
20240719153008,0.15,1005.75,32.51,84.39,5810.94
20240719154008,-0.17,1006.22,32.13,89.38,12082.74
20240719155008,0.06,1003.63,32.92,91.13,-565.14
20240719160008,0.09,1006.24,31.63,85.35,11417.28
20240719161008,0.02,1006.6,30.36,83.35,7486.31
20240719162008,0.16,1004.93,31.94,82.07,4972.19
20240719163008,0.09,1005.41,31.7,77.76,3934.39
20240719164008,0.03,1005.27,32.6,75.04,4014.96
20240719165008,0.05,1005.17,33.36,71.34,4894.04
20240309090009,1.21,1017.18,20.14,60.82,20883.5
20240309091009,0.41,1018.71,15.06,72.63,-180.91
20240309092009,0.17,1017.96,17.5,66.89,1297.79
20240309093009,0.13,1018.67,17.11,65.87,2293.34
20240309094009,0.07,1018.38,17.6,66.78,2979.19
20240309095009,0.02,1018.78,17.57,64.55,4348.18
20240309100009,0.12,1018.83,17.89,62.82,6764.54
20240309101009,0.11,1018.51,18.08,62.66,5668.99
20240309102009,0.06,1018.47,18.04,63.33,5099.85
20240309103009,0.05,1018.59,18.53,62.69,8331.97
20240309104009,0.14,1018.67,19.19,59.97,12082.64
20240309105009,0.07,1018.31,19.5,59.12,9746.19
20240309110009,0.19,1018.31,19.58,57.19,10775.68
20240309111009,0.06,1019.1,14.87,81.29,1157.57
20240309112009,0.06,1018.89,15.38,80.81,1979.75
20240309113009,0.09,1018.93,15.32,80.46,1942.61
20240309114009,0.11,1018.7,15.92,79.14,3108.66
20240309115009,0.09,1018.63,16.32,76.88,4455.7
20240309120009,0.12,1018.75,16.5,74.7,6203.38
20240309121009,0.09,1018.62,16.7,73.65,5720.18
20240309122009,0.17,1018.49,16.69,74.3,5207.35
20240309123009,0.23,1018.74,17.31,71.08,9330.86
20240309124009,0.11,1018.66,18.6,67.14,13729.85
20240309125009,0.15,1018.51,18.58,66.03,12056.02
20240309130009,0.43,1018.39,18.63,63.66,13143.17
20240309131009,0.63,1018.76,13.77,83.59,-615.64
20240309132009,0.36,1018.85,14.77,80.29,1182.43
20240309133009,0.16,1019.33,14.2,82.31,300.52
20240309134009,0.14,1018.81,15.11,81.87,674.1
20240309135009,0.15,1018.82,15.27,80.15,1547.65
20240309140009,0.3,1018.86,15.27,77.85,2604.57
20240309141009,0.37,1018.84,15.27,75.99,2259.47
20240309142009,0.48,1018.75,15.33,74.93,2062.53
20240309143009,0.17,1018.97,15.78,74.74,3405.57
20240309144009,0.47,1018.66,16.24,71.77,4272.94
20240309145009,0.26,1018.57,16.76,70.71,4308.52
20240309150009,0.32,1018.61,17.11,67.07,4858.64
20240309151009,0.15,1019.05,15.1,77.28,585.08
20240309152009,0.24,1018.68,15.63,77.44,1652.22
20240309153009,0.23,1018.73,15.58,76.73,1394.18
20240309154009,0.11,1019.01,15.95,73.45,2556.89
20240309155009,0.12,1018.97,16.12,73.02,3215.38
20240309160009,0.31,1018.63,16.36,72.78,4009.15
20240309161009,0.21,1018.6,16.38,72.78,3470.52
20240309162009,0.25,1018.52,16.29,73.37,2733.29
20240309163009,0.23,1018.53,16.76,72.26,4623.26
20240309164009,0.16,1018.54,17.82,68.79,8764.86
20240309165009,0.21,1018.11,18.13,67.77,7171.53
20240314090009,1.42,1014.37,18.61,87.6,7965.24
20240314091009,1.05,1016.13,16.17,85.13,1334.98
20240314092009,0.8,1016.3,16.92,83.62,2649.71
20240314093009,0.75,1016.38,16.88,83.7,2789.01
20240314094009,0.79,1016.26,16.8,85.3,2444.93
20240314095009,0.91,1016.21,16.83,84.77,2576.55
20240314100009,0.75,1016.34,17.17,83.41,3543.0
20240314101009,0.99,1016.08,17.26,82.93,3782.32
20240314102009,1.42,1015.41,17.58,83.37,4911.96
20240314103009,1.59,1015.21,17.87,82.51,6867.9
20240314104009,1.42,1015.36,18.04,80.95,7451.78
20240314105009,1.22,1015.6,18.37,78.91,8574.8
20240314110009,1.27,1015.43,18.53,78.89,8592.2
20240314111009,1.21,1015.3,16.19,90.39,-1021.07
20240314112009,0.83,1015.58,17.48,85.15,1301.05
20240314113009,1.02,1015.62,16.8,86.88,762.09
20240314114009,0.88,1015.55,17.18,88.23,1858.27
20240314115009,1.36,1015.13,16.92,88.47,1304.79
20240314120009,1.03,1015.48,17.06,88.21,2005.94
20240314121009,0.77,1015.73,17.13,87.73,1881.23
20240314122009,1.63,1014.67,17.25,88.77,2478.78
20240314123009,1.87,1014.56,17.28,88.61,4067.43
20240314124009,1.8,1014.54,17.26,88.07,3386.78
20240314125009,1.38,1015.0,17.5,86.44,4012.22
20240314130009,1.58,1014.76,17.53,86.68,4136.98
20240314131009,0.61,1015.99,18.8,70.85,1484.92
20240314132009,0.32,1016.56,18.32,74.28,2407.65
20240314133009,0.17,1016.1,18.73,75.71,910.95
20240314134009,0.11,1016.38,18.38,77.06,1060.84
20240314135009,0.1,1016.57,18.26,77.26,1262.15
20240314140009,0.14,1016.59,18.44,76.33,2199.48
20240314141009,0.11,1016.54,18.68,75.26,2081.25
20240314142009,0.1,1016.36,18.97,75.81,2718.03
20240314143009,0.08,1016.28,19.08,76.35,3389.09
20240314144009,0.07,1016.28,18.95,76.22,2773.62
20240314145009,0.1,1016.3,19.0,75.71,2928.82
20240314150009,0.14,1016.19,19.05,75.94,3027.33
20240314151009,0.08,1016.42,17.36,85.97,74.79
20240314152009,0.07,1016.44,17.63,84.37,585.27
20240314153009,0.07,1016.43,17.63,84.44,627.9
20240314154009,0.08,1016.31,17.75,85.25,1155.18
20240314155009,0.08,1016.24,17.73,85.59,1154.34
20240314160009,0.08,1016.23,17.85,85.33,1785.08
20240314161009,0.08,1016.15,17.91,86.06,2193.64
20240314162009,0.09,1016.14,17.93,86.63,2729.48
20240314163009,0.09,1016.23,18.15,85.12,3901.54
20240314164009,0.08,1016.24,18.21,84.17,3715.66
20240314165009,0.08,1016.29,18.37,82.87,4140.06
20240414090009,0.04,1008.33,40.72,41.95,68001.78
20240414091009,-0.01,1008.83,26.11,87.98,3855.46
20240414092009,-0.01,1008.98,28.39,78.34,7392.08
20240414093009,0.05,1009.68,28.01,81.0,12121.67
20240414094009,0.12,1009.6,28.38,77.28,13910.66
20240414095009,0.04,1009.26,28.87,75.77,13631.17
20240414100009,0.08,1008.97,29.74,73.27,15522.05
20240414101009,0.09,1009.57,28.94,72.77,16241.05
20240414102009,0.06,1009.37,29.28,70.6,13675.0
20240414103009,0.05,1009.23,30.6,67.68,18988.12
20240414104009,0.12,1009.34,30.83,65.8,21688.37
20240414105009,0.09,1009.32,30.91,65.91,22100.73
20240414110009,0.05,1009.21,31.52,63.83,23189.5
20240414111009,0.06,1007.28,27.54,99.66,1111.58
20240414112009,0.1,1005.58,33.88,69.73,8658.84
20240414113009,0.04,1005.46,33.81,74.88,10379.62
20240414114009,0.04,1005.84,33.51,67.87,11295.59
20240414115009,0.03,1005.22,34.56,66.56,9693.68
20240414120009,0.07,1004.95,35.81,60.27,11446.27
20240414121009,0.04,1004.4,37.08,57.08,12512.16
20240414122009,0.01,1004.57,36.78,57.93,12771.79
20240414123009,-0.01,1004.18,38.21,53.73,14052.2
20240414124009,-0.0,1005.18,37.07,55.31,18415.8
20240414125009,-0.0,1004.99,37.81,52.63,18712.69
20240414130009,0.01,1004.18,40.18,46.88,21918.43
20240414131009,0.03,1008.85,25.16,96.8,442.64
